23-08-21 17:54:20.964 : Beta-------------------------------->0
23-08-21 17:54:20.965 : Writing to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:20.965 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:24.402 : iteration: 1, psnr: 5.840484029952667, psnr_best: 5.840484029952667
23-08-21 17:54:24.432 : iteration: 2, psnr: 5.835234522860328, psnr_best: 5.840484029952667
23-08-21 17:54:24.458 : iteration: 3, psnr: 5.844362518150591, psnr_best: 5.844362518150591
23-08-21 17:54:24.483 : iteration: 4, psnr: 5.849289562027559, psnr_best: 5.849289562027559
23-08-21 17:54:24.506 : iteration: 5, psnr: 5.846628521975312, psnr_best: 5.849289562027559
23-08-21 17:54:24.524 : iteration: 6, psnr: 5.845269389198107, psnr_best: 5.849289562027559
23-08-21 17:54:24.542 : iteration: 7, psnr: 5.844377798489486, psnr_best: 5.849289562027559
23-08-21 17:54:24.560 : iteration: 8, psnr: 5.839934389199863, psnr_best: 5.849289562027559
23-08-21 17:54:24.578 : iteration: 9, psnr: 5.843333721978745, psnr_best: 5.849289562027559
23-08-21 17:54:24.601 : iteration: 10, psnr: 5.8503129733382115, psnr_best: 5.8503129733382115
23-08-21 17:54:24.624 : iteration: 11, psnr: 5.85318609080956, psnr_best: 5.85318609080956
23-08-21 17:54:24.642 : iteration: 12, psnr: 5.842161112402454, psnr_best: 5.85318609080956
23-08-21 17:54:24.659 : iteration: 13, psnr: 5.851451181848631, psnr_best: 5.85318609080956
23-08-21 17:54:24.678 : iteration: 14, psnr: 5.845929434535197, psnr_best: 5.85318609080956
23-08-21 17:54:24.703 : iteration: 15, psnr: 5.850279095155317, psnr_best: 5.85318609080956
23-08-21 17:54:24.733 : iteration: 16, psnr: 5.854694779122572, psnr_best: 5.854694779122572
23-08-21 17:54:24.786 : iteration: 17, psnr: 5.853408854668096, psnr_best: 5.854694779122572
23-08-21 17:54:24.805 : iteration: 18, psnr: 5.8498457414557254, psnr_best: 5.854694779122572
23-08-21 17:54:24.826 : iteration: 19, psnr: 5.8558614545333665, psnr_best: 5.8558614545333665
23-08-21 17:54:24.849 : iteration: 20, psnr: 5.858468033994308, psnr_best: 5.858468033994308
23-08-21 17:54:24.867 : iteration: 21, psnr: 5.851695312969738, psnr_best: 5.858468033994308
23-08-21 17:54:24.885 : iteration: 22, psnr: 5.852367995751164, psnr_best: 5.858468033994308
23-08-21 17:54:24.903 : iteration: 23, psnr: 5.852391216404127, psnr_best: 5.858468033994308
23-08-21 17:54:24.921 : iteration: 24, psnr: 5.855101543110859, psnr_best: 5.858468033994308
23-08-21 17:54:24.942 : iteration: 25, psnr: 5.859243868606226, psnr_best: 5.859243868606226
23-08-21 17:54:24.965 : iteration: 26, psnr: 5.8615533790131575, psnr_best: 5.8615533790131575
23-08-21 17:54:24.984 : iteration: 27, psnr: 5.850009031111119, psnr_best: 5.8615533790131575
23-08-21 17:54:25.003 : iteration: 28, psnr: 5.857480600808295, psnr_best: 5.8615533790131575
23-08-21 17:54:25.028 : iteration: 29, psnr: 5.863818215398643, psnr_best: 5.863818215398643
23-08-21 17:54:25.058 : iteration: 30, psnr: 5.862489428042745, psnr_best: 5.863818215398643
23-08-21 17:54:25.077 : iteration: 31, psnr: 5.857938168863177, psnr_best: 5.863818215398643
23-08-21 17:54:25.096 : iteration: 32, psnr: 5.861803905642909, psnr_best: 5.863818215398643
23-08-21 17:54:25.115 : iteration: 33, psnr: 5.8590738893350025, psnr_best: 5.863818215398643
23-08-21 17:54:25.135 : iteration: 34, psnr: 5.866478128391695, psnr_best: 5.866478128391695
23-08-21 17:54:25.163 : iteration: 35, psnr: 5.8591808872338955, psnr_best: 5.866478128391695
23-08-21 17:54:25.182 : iteration: 36, psnr: 5.861734293156051, psnr_best: 5.866478128391695
23-08-21 17:54:25.220 : iteration: 37, psnr: 5.86550102816582, psnr_best: 5.866478128391695
23-08-21 17:54:25.239 : iteration: 38, psnr: 5.863209699564224, psnr_best: 5.866478128391695
23-08-21 17:54:25.258 : iteration: 39, psnr: 5.860405599504466, psnr_best: 5.866478128391695
23-08-21 17:54:25.278 : iteration: 40, psnr: 5.865674730595951, psnr_best: 5.866478128391695
23-08-21 17:54:25.299 : iteration: 41, psnr: 5.873864068845915, psnr_best: 5.873864068845915
23-08-21 17:54:25.334 : iteration: 42, psnr: 5.8723702026309414, psnr_best: 5.873864068845915
23-08-21 17:54:25.358 : iteration: 43, psnr: 5.871297939319606, psnr_best: 5.873864068845915
23-08-21 17:54:25.389 : iteration: 44, psnr: 5.8747414445203505, psnr_best: 5.8747414445203505
23-08-21 17:54:25.410 : iteration: 45, psnr: 5.874939877642014, psnr_best: 5.874939877642014
23-08-21 17:54:25.429 : iteration: 46, psnr: 5.871551968429154, psnr_best: 5.874939877642014
23-08-21 17:54:25.448 : iteration: 47, psnr: 5.868756160954145, psnr_best: 5.874939877642014
23-08-21 17:54:25.469 : iteration: 48, psnr: 5.874308840638007, psnr_best: 5.874939877642014
23-08-21 17:54:25.491 : iteration: 49, psnr: 5.877642582162321, psnr_best: 5.877642582162321
23-08-21 17:54:25.509 : iteration: 50, psnr: 5.877515262218123, psnr_best: 5.877642582162321
23-08-21 17:54:25.533 : iteration: 51, psnr: 5.876066286641638, psnr_best: 5.877642582162321
23-08-21 17:54:25.552 : iteration: 52, psnr: 5.876339086707891, psnr_best: 5.877642582162321
23-08-21 17:54:25.572 : iteration: 53, psnr: 5.873802134548843, psnr_best: 5.877642582162321
23-08-21 17:54:25.591 : iteration: 54, psnr: 5.876653031543038, psnr_best: 5.877642582162321
23-08-21 17:54:25.610 : iteration: 55, psnr: 5.871857114655043, psnr_best: 5.877642582162321
23-08-21 17:54:25.630 : iteration: 56, psnr: 5.882993944248431, psnr_best: 5.882993944248431
23-08-21 17:54:25.647 : iteration: 57, psnr: 5.880045201132402, psnr_best: 5.882993944248431
23-08-21 17:54:25.665 : iteration: 58, psnr: 5.878396483258778, psnr_best: 5.882993944248431
23-08-21 17:54:25.684 : iteration: 59, psnr: 5.877536168838079, psnr_best: 5.882993944248431
